title,label
"Эксперт рассказал о том, что выдача ключей будет производиться в субсидии",1
Российские хоккеисты начнут играть на ЧМ по футболу,1
Кто устанавливает трубы водовода на Бабиковой улице?,1
«Срок ввода в строй вышеупомянутой ГРЭС может превышать срок ввода в строй»,1
"Мы обещаем, что введение в эксплуатацию произойдет в декабре 2005 года.",1
Строительство в новостройках «Балтийской волны» завершено в феврале,1
ГК «Стройинвест» ИС возвращается в отставку в течение 23 месяцев,1
В Австрии заявили о готовности к запуску «Северного тока»,1
"В результате сроки сорвались, что заставило перенести.",1
В «Балтийском заводе — Судостроении» перестали платить за подрядчиков,1
Низовский завод введут в эксплуатацию в 2020 году,1
Строительство школы в Москве задержали после ввода в эксплуатацию,1
«На самом деле мы обратились к вам за просьбой перенести срок ввода.,1
Дом No 2 в Москве не сдан на стройку,1
СМИ: два завода для производства метанола вовремя не запустят,1
В Петербурге завершили строительство трех заводов сельхозтехники,1
Это требует дополнительных средств и может вызвать задержку ввода домов,1
"Проекты ""Сколково"" могут завершиться с задержкой в ближайшее время",1
«Киров Плазм» продлил статус единственной поставщика на 2019 год,1
В Самаре возбуждено уголовное дело по факту строительства ЖК «У парка»,1
"Счетная Палата РФ выясняет, были ли причины срыва с российской Счетной палатой",1
В России назвали дату проведения ЧМ по футболу,1
«Стройград» провел грандиозное строительство у Пушкаревского шоссе,1
Возможные срывы сроков эксплуатации трубопроводов «Пурпе» -,1
"Некоторые объекты были завершены, но объекты не смогли бы сделать этого.",1
В Крыму опровергли информацию о срыве ввода Крымской ТЭС,1
Белоус покинул пост председателя Совбеза Украины,1
В Югре задержали бизнесмена Копайгору,1
Нарушено срок ввода для десяти перинатальных центров,1
В связи с недобросовестной подрядчиком сроки доставки неоднократно перенесены,1
Подрядчик не сдал в эксплуатацию инженерные инфраструктуры,1
В связи с недобросовестной подрядчиком сроки передачи неоднократно перенесены,1
"В итогах сроки сорвались, что заставило перенести их.",1
Что планируется завершить строительством торгового центра в I квартале 2019 г.?,1
Роспотребнадзор пообещал имшимцам компенсировать моральный вред,1
Срок строительства нового зоопарка увеличился до 1 млрд руб.,1
«РусГидро» подвергается штрафу за пропуску ввода газа,1
Власти Москвы назвали причину отсутствия автомойки колес,1
В столице ввели офисную недвижимость из-за коронавируса,1
Это необходимо для полного снятия штрафных санкций,1
В Алтайской области банкротство привело к невозможности исполнения обязательств,1
В прошлый год многие строители столкнулись со множеством требований к строительству.,1
"У ООО ""Гранид"" неоднократно перенесли сроки завершения строительства",1
Но возведение было остановлено на втором этаже,1
Ввод в эксплуатацию жилого дома с подземным автостоянком,1
Обвиняли московский акимат за нарушение сроков строительства первой станции метро,1
Путин и Медведев провели прямую линию с Путиным,1
Причиной задержки возобновления строительства может стать продление срока строительства,1
"В ЖК ""Созвездие"" сдали первые два дома",1
Сроки передачи отдельного участка дороги не раз сдвинулись.,1
Сбор информации и подробный анализ реализации нацпроектов муниципальных образований,1
В Австрии заявили о срыве срока запуска проекта «Северный поток — 2»,1
Застройщики жилых домов не сообщили о нарушении законодательства о долевом строительстве,1
В барнауле строители пожаловались на срыв времени строительства жилого дома,1
Он напомнил о срыве сроков строительства ТЭЦ,1
Сроки подачи квартиры в эксплуатацию заявленных застройщиками уже закончились.,1
